iter	Passed	Remaining
0	142	142521
1	145	72616
2	148	49213
3	150	37416
4	152	30265
5	153	25464
6	155	22075
7	157	19510
8	159	17546
9	161	15986
10	163	14695
11	165	13640
12	167	12729
13	169	11942
14	171	11264
15	173	10645
16	175	10134
17	176	9652
18	178	9216
19	180	8822
20	181	8466
21	183	8158
22	185	7860
23	187	7615
24	188	7367
25	190	7133
26	191	6916
27	193	6714
28	194	6524
29	196	6353
30	197	6187
31	199	6045
32	202	5921
33	203	5791
34	205	5675
35	207	5566
36	209	5452
37	211	5343
38	212	5243
39	214	5148
40	216	5064
41	218	4982
42	220	4904
43	222	4833
44	225	4775
45	226	4701
46	228	4633
47	230	4564
48	231	4495
49	233	4429
50	234	4368
51	236	4306
52	237	4246
53	238	4186
54	240	4130
55	242	4081
56	243	4028
57	245	3979
58	246	3938
59	248	3890
60	249	3845
61	251	3800
62	252	3756
63	254	3714
64	255	3675
65	256	3634
66	258	3595
67	259	3558
68	260	3521
69	262	3484
70	263	3451
71	265	3417
72	266	3384
73	267	3351
74	269	3321
75	270	3291
76	272	3261
77	273	3231
78	274	3202
79	276	3175
80	277	3147
81	278	3120
82	280	3094
83	281	3069
84	282	3044
85	285	3033
86	287	3015
87	288	2994
88	290	2973
89	291	2951
90	293	2932
91	295	2912
92	296	2891
93	297	2870
94	299	2851
95	300	2831
96	302	2811
97	303	2793
98	305	2780
99	306	2761
100	308	2743
101	309	2725
102	310	2708
103	312	2691
104	313	2674
105	315	2657
106	316	2640
107	317	2624
108	319	2607
109	320	2592
110	321	2576
111	323	2561
112	324	2546
113	325	2533
114	327	2518
115	329	2507
116	331	2498
117	332	2486
118	334	2473
119	335	2462
120	347	2527
121	350	2525
122	355	2535
123	359	2539
124	361	2533
125	363	2523
126	366	2518
127	368	2510
128	371	2505
129	374	2504
130	376	2495
131	378	2487
132	380	2480
133	382	2471
134	385	2467
135	389	2471
136	391	2465
137	393	2457
138	395	2447
139	397	2443
140	399	2434
141	401	2426
142	404	2421
143	412	2450
144	414	2445
145	416	2435
146	418	2429
147	421	2425
148	423	2420
149	425	2413
150	427	2404
151	429	2394
152	430	2384
153	433	2379
154	434	2370
155	436	2361
156	438	2354
157	440	2346
158	441	2337
159	443	2327
160	444	2318
161	446	2311
162	449	2305
163	451	2303
164	454	2299
165	456	2295
166	459	2291
167	461	2285
168	463	2277
169	464	2269
170	466	2260
171	467	2252
172	469	2245
173	471	2236
174	472	2229
175	474	2221
176	475	2212
177	477	2203
178	478	2195
179	479	2186
180	481	2177
181	482	2168
182	483	2160
183	485	2152
184	486	2144
185	488	2136
186	490	2131
187	491	2123
188	493	2115
189	494	2107
190	495	2099
191	496	2090
192	498	2082
193	499	2075
194	500	2067
195	502	2060
196	503	2053
197	505	2046
198	506	2038
199	507	2031
200	509	2023
201	510	2017
202	512	2010
203	513	2003
204	514	1995
205	515	1988
206	517	1982
207	519	1977
208	520	1970
209	521	1963
210	523	1956
211	524	1950
212	526	1944
213	527	1937
214	528	1930
215	530	1924
216	531	1917
217	533	1912
218	534	1905
219	535	1899
220	537	1893
221	538	1886
222	539	1879
223	541	1874
224	542	1868
225	544	1863
226	545	1857
227	546	1851
228	548	1845
229	549	1839
230	550	1833
231	552	1828
232	553	1822
233	554	1816
234	556	1811
235	557	1805
236	558	1799
237	560	1793
238	561	1787
239	562	1782
240	564	1777
241	565	1771
242	566	1766
243	568	1760
244	569	1755
245	570	1749
246	572	1745
247	573	1739
248	574	1734
249	576	1728
250	577	1722
251	578	1718
252	580	1713
253	581	1707
254	582	1702
255	584	1697
256	585	1692
257	586	1687
258	587	1681
259	588	1676
260	590	1670
261	591	1665
262	592	1659
263	593	1654
264	594	1649
265	595	1643
266	596	1638
267	597	1632
268	599	1628
269	600	1622
270	601	1617
271	602	1612
272	603	1606
273	604	1601
274	605	1596
275	606	1591
276	607	1586
277	608	1581
278	609	1576
279	611	1571
280	612	1566
281	613	1561
282	614	1556
283	615	1551
284	616	1546
285	617	1542
286	618	1537
287	619	1532
288	621	1528
289	622	1523
290	623	1519
291	624	1514
292	625	1509
293	626	1505
294	627	1500
295	629	1496
296	630	1491
297	631	1486
298	632	1482
299	633	1477
300	634	1473
301	635	1468
302	636	1464
303	637	1459
304	638	1455
305	639	1450
306	640	1446
307	641	1442
308	642	1437
309	644	1433
310	645	1429
311	646	1424
312	647	1420
313	648	1416
314	649	1412
315	650	1407
316	651	1403
317	652	1399
318	653	1395
319	654	1391
320	655	1387
321	656	1383
322	658	1379
323	659	1375
324	660	1371
325	661	1367
326	662	1362
327	663	1358
328	664	1354
329	665	1350
330	666	1347
331	667	1343
332	668	1339
333	669	1335
334	670	1331
335	671	1327
336	673	1324
337	674	1320
338	675	1317
339	676	1313
340	677	1309
341	678	1305
342	679	1301
343	680	1298
344	681	1294
345	683	1291
346	684	1287
347	685	1283
348	686	1280
349	687	1276
350	688	1273
351	689	1269
352	690	1265
353	691	1262
354	692	1258
355	693	1255
356	694	1251
357	695	1247
358	696	1244
359	697	1240
360	699	1237
361	700	1234
362	701	1230
363	702	1227
364	703	1223
365	704	1220
366	705	1216
367	706	1213
368	707	1209
369	708	1206
370	709	1203
371	710	1200
372	711	1196
373	712	1193
374	714	1190
375	715	1186
376	716	1183
377	717	1180
378	718	1177
379	719	1174
380	720	1170
381	721	1167
382	722	1164
383	723	1161
384	725	1158
385	726	1155
386	727	1152
387	728	1149
388	729	1145
389	730	1142
390	731	1139
391	732	1136
392	733	1133
393	734	1130
394	736	1127
395	737	1124
396	738	1121
397	739	1118
398	740	1115
399	741	1112
400	742	1109
401	743	1106
402	744	1103
403	746	1100
404	747	1097
405	748	1094
406	749	1091
407	750	1088
408	751	1085
409	752	1083
410	753	1080
411	754	1077
412	755	1074
413	757	1071
414	758	1068
415	759	1065
416	760	1062
417	761	1060
418	762	1057
419	763	1054
420	764	1051
421	765	1048
422	767	1046
423	768	1043
424	769	1041
425	770	1038
426	772	1036
427	773	1033
428	774	1030
429	775	1027
430	776	1025
431	777	1022
432	778	1019
433	779	1017
434	780	1014
435	782	1011
436	783	1009
437	784	1006
438	785	1004
439	787	1001
440	788	999
441	789	996
442	790	994
443	791	991
444	793	989
445	794	986
446	795	984
447	796	981
448	797	978
449	798	976
450	799	973
451	801	971
452	802	968
453	803	966
454	805	964
455	806	961
456	807	959
457	808	957
458	810	954
459	811	952
460	812	950
461	813	947
462	815	945
463	816	943
464	817	940
465	819	938
466	820	936
467	821	933
468	822	931
469	824	929
470	825	927
471	826	924
472	828	922
473	829	920
474	830	918
475	832	916
476	833	913
477	834	911
478	836	909
479	837	907
480	839	905
481	840	903
482	842	901
483	843	899
484	844	897
485	846	894
486	847	892
487	848	890
488	850	888
489	851	886
490	852	884
491	854	881
492	855	879
493	856	877
494	857	875
495	861	875
496	863	873
497	864	871
498	866	869
499	867	867
500	868	865
501	870	863
502	871	861
503	872	859
504	874	856
505	875	854
506	876	852
507	877	850
508	879	847
509	880	846
510	882	844
511	883	841
512	884	839
513	885	837
514	887	835
515	888	833
516	889	831
517	891	829
518	892	827
519	893	824
520	895	823
521	896	821
522	898	819
523	899	816
524	900	814
525	901	812
526	902	810
527	903	808
528	905	805
529	906	803
530	907	801
531	908	799
532	910	797
533	912	796
534	913	794
535	914	791
536	915	789
537	917	787
538	918	785
539	919	783
540	920	780
541	921	778
542	922	776
543	923	774
544	925	772
545	926	770
546	928	768
547	929	766
548	930	764
549	931	762
550	932	760
551	933	757
552	935	755
553	936	753
554	937	751
555	938	749
556	939	747
557	940	745
558	942	743
559	943	741
560	944	739
561	945	737
562	946	734
563	948	732
564	949	730
565	950	728
566	951	726
567	952	724
568	953	722
569	955	720
570	956	718
571	957	716
572	958	714
573	959	712
574	960	710
575	962	708
576	963	706
577	964	704
578	965	702
579	966	699
580	967	697
581	968	695
582	970	693
583	971	692
584	972	690
585	973	688
586	975	686
587	976	684
588	977	681
589	978	679
590	979	677
591	980	675
592	981	673
593	983	671
594	984	669
595	985	668
596	986	666
597	988	664
598	989	662
599	990	660
600	991	658
601	992	656
602	993	654
603	994	652
604	995	650
605	996	648
606	998	646
607	999	644
608	1000	642
609	1001	640
610	1003	638
611	1004	636
612	1005	634
613	1006	632
614	1007	630
615	1008	628
616	1009	626
617	1011	624
618	1012	623
619	1013	621
620	1014	619
621	1015	617
622	1017	615
623	1018	613
624	1019	611
625	1020	609
626	1021	607
627	1023	606
628	1024	604
629	1025	602
630	1026	600
631	1027	598
632	1028	596
633	1030	594
634	1031	592
635	1032	590
636	1033	589
637	1034	587
638	1035	585
639	1036	583
640	1038	581
641	1039	579
642	1040	577
643	1041	575
644	1042	573
645	1043	572
646	1044	570
647	1046	568
648	1047	566
649	1049	565
650	1050	563
651	1051	561
652	1053	559
653	1054	558
654	1056	556
655	1057	554
656	1059	552
657	1060	551
658	1062	549
659	1063	547
660	1064	545
661	1065	544
662	1067	542
663	1069	540
664	1070	539
665	1071	537
666	1072	535
667	1074	533
668	1075	531
669	1079	531
670	1080	529
671	1081	528
672	1083	526
673	1084	524
674	1085	522
675	1086	520
676	1087	518
677	1088	516
678	1089	515
679	1090	513
680	1092	511
681	1094	510
682	1095	508
683	1096	506
684	1097	504
685	1098	502
686	1100	501
687	1101	499
688	1102	497
689	1103	495
690	1104	493
691	1105	492
692	1107	490
693	1108	488
694	1109	487
695	1111	485
696	1112	483
697	1113	481
698	1114	479
699	1115	478
700	1116	476
701	1117	474
702	1118	472
703	1119	470
704	1120	469
705	1122	467
706	1123	465
707	1124	463
708	1126	462
709	1127	460
710	1128	458
711	1129	456
712	1130	455
713	1131	453
714	1132	451
715	1134	449
716	1135	448
717	1136	446
718	1138	444
719	1139	443
720	1140	441
721	1141	439
722	1142	437
723	1143	436
724	1144	434
725	1145	432
726	1147	430
727	1148	428
728	1149	427
729	1150	425
730	1151	423
731	1152	422
732	1154	420
733	1155	418
734	1156	417
735	1157	415
736	1158	413
737	1159	411
738	1161	410
739	1162	408
740	1163	406
741	1164	404
742	1165	403
743	1166	401
744	1167	399
745	1169	398
746	1170	396
747	1171	394
748	1172	392
749	1173	391
750	1174	389
751	1175	387
752	1176	386
753	1178	384
754	1179	382
755	1180	380
756	1181	379
757	1182	377
758	1184	376
759	1185	374
760	1187	372
761	1188	371
762	1189	369
763	1190	367
764	1191	366
765	1192	364
766	1193	362
767	1194	360
768	1196	359
769	1197	357
770	1200	356
771	1201	354
772	1202	353
773	1203	351
774	1204	349
775	1205	348
776	1207	346
777	1208	344
778	1209	343
779	1210	341
780	1211	339
781	1213	338
782	1214	336
783	1216	335
784	1217	333
785	1218	331
786	1220	330
787	1221	328
788	1222	326
789	1223	325
790	1224	323
791	1226	322
